#,Nombre,Evento,Vereda,Sector,Descripcion,foto,Lat,Lon
1,H-Reptación / aguasub,Movimiento en masa,,,H-Reptación / aguasub,1.jpg,6.392667,-75.477028
2,MM -V.SOCORRO -POTRERITO,Movimiento en masa,,,MM -V.SOCORRO -POTRERITO,2.jpg,6.421694,-75.459806
3,Perdida vía rural. Holanda Baja,Punto de riesgo,,,Perdida vía rural. Holanda Baja,3.jpg,6.403711,-75.475005
4,Perdida de Banca H baja _ H. Alta. (mina sub),Socavación / pérdida de banca,,,Perdida de Banca H baja _ H. Alta. (mina sub),4.jpg,6.411139,-75.482472
5,Qda. Limonar. Torrencial. ( Copa),Avenida torrencial,,,Qda. Limonar. Torrencial. ( Copa),5.jpg,6.395333,-75.488722
6,MM LA SOLEDAD.,Movimiento en masa,,,MM LA SOLEDAD.,6.jpg,6.416806,-75.469861
7,Bocam abandonada el Socorro,Punto de riesgo,,,Bocam abandonada el Socorro,7.jpg,6.417944,-75.459944
8,Mina informal V. Socorro subt.,Punto de riesgo,,,Mina informal V. Socorro subt.,8.jpg,6.408611,-75.454528
9,La Hacienda. INUNDACION SUBITA R. ABURRA,Inundación,,,La Hacienda. INUNDACION SUBITA R. ABURRA,9.jpg,6.398806,-75.422444
10,MM VIA Encenillos. cañauzal,Movimiento en masa,,,MM VIA Encenillos. cañauzal,10.jpg,6.376471,-75.407361
11,Peaje Cabildo. Inundación Lenta,Inundación,,,Peaje Cabildo. Inundación Lenta,11.jpg,6.395833,-75.423528
12,Peaje Cabildo. Inundación Lenta,Inundación,,,Peaje Cabildo. Inundación Lenta,12.jpg,6.395833,-75.423528
13,Escombrera Trapiche,Punto de riesgo,,,Escombrera Trapiche,13.jpg,6.401778,-75.425639
14,Socavaciones Río Aburrá,Socavación / pérdida de banca,,,Socavaciones Río Aburrá,14.jpg,6.398111,-75.430111
15,Perdida de banca. sector la Calle. V. San Andrés,Socavación / pérdida de banca,,,Perdida de banca. sector la Calle. V. San Andrés,15.jpg,6.400722,-75.436806
16,MM RRES. CORANTIOQUIA ACTIVO. V. San Andrés,Movimiento en masa,,,MM RRES. CORANTIOQUIA ACTIVO. V. San Andrés,16.jpg,6.404111,-75.450111
17,Mina.Sub. NN V. San Andrés,Punto de riesgo,,,Mina.Sub. NN V. San Andrés,17.jpg,6.407333,-75.449944
18,Caida de rocas_ V. Matica puente amarillo.,Punto de riesgo,,,Caida de rocas_ V. Matica puente amarillo.,18.jpg,6.393806,-75.454528
19,MM_ACTIVO- V. Matica (casa prefabricada),Punto de riesgo,,,MM_ACTIVO- V. Matica (casa prefabricada),19.jpg,6.394889,-75.451028
20,Desembocadura La Sapera. Inundación,Inundación,,,Desembocadura La Sapera. Inundación,20.jpg,6.387639,-75.446639
21,MM _MULAS_V.ENCENILLOS,Movimiento en masa,,,MM _MULAS_V.ENCENILLOS,21.jpg,6.379917,-75.414889
22,CRECIENTE SUBITA QUEDA EL TÁBANO,Avenida torrencial,,,CRECIENTE SUBITA QUEDA EL TÁBANO,22.jpg,6.379692,-75.420692
23,CASCADA SAN ANTONIO_CAIDA,Punto de riesgo,,,CASCADA SAN ANTONIO_CAIDA,23.jpg,6.351,-75.426944
24,QDA. EN GUAYACANES,Avenida torrencial,,,QDA. EN GUAYACANES,24.jpg,6.376388,-75.443979
25,INUNDACIÓN POR DESBORDAMIENTO DE QUEBRADA,Avenida torrencial,,,INUNDACIÓN POR DESBORDAMIENTO DE QUEBRADA,25.jpg,6.375273,-75.451844
26,MM. CERCA AL PREDIO EL PARADISO,Movimiento en masa,,,MM. CERCA AL PREDIO EL PARADISO,26.jpg,6.372794,-75.442284
27,FLUJO VDA. LA MATA,Punto de riesgo,,,FLUJO VDA. LA MATA,27.jpg,6.419964,-75.466223
28,"SOCAVACIÓN VDA. SAN DIEGO, VÍA PRIVADA",Socavación / pérdida de banca,,,"SOCAVACIÓN VDA. SAN DIEGO, VÍA PRIVADA",28.jpg,6.377525,-75.426338
29,Marcador sin título,Punto de riesgo,,,Marcador sin título,29.jpg,6.366908,-75.446955
30,MM. VDA. LA MATICA PARTE ALTA,Movimiento en masa,,,MM. VDA. LA MATICA PARTE ALTA,30.jpg,6.397821,-75.453942
31,"MM VDA. MANGA ARRIBA, SECTOR LOS GLOBOS",Movimiento en masa,,,"MM VDA. MANGA ARRIBA, SECTOR LOS GLOBOS",31.jpg,6.354037,-75.462133
32,MM_CONGOTES_V. MANGA ARRIBA,Punto de riesgo,,,MM_CONGOTES_V. MANGA ARRIBA,32.jpg,6.352111,-75.459861
33,MM_QDA EL BARRO,Avenida torrencial,,,MM_QDA EL BARRO,33.jpg,6.3586,-75.444935
34,"MM. VDA MANGA ARRIBA, CERCA TIENDA DE DAVID",Movimiento en masa,,,"MM. VDA MANGA ARRIBA, CERCA TIENDA DE DAVID",34.jpg,6.356581,-75.464719
35,MM_VIA MATA-HOLANDA,Punto de riesgo,,,MM_VIA MATA-HOLANDA,35.jpg,6.420918,-75.468292
36,"MM. VDA SAN ANDRES, CALLE VIEJA",Movimiento en masa,,,"MM. VDA SAN ANDRES, CALLE VIEJA",36.jpg,6.392769,-75.446196
37,MM_V.SOCORRO_ACUEDUCTO SE,Punto de riesgo,,,MM_V.SOCORRO_ACUEDUCTO SE,37.jpg,6.408375,-75.459605
38,MM Y PERDIDA DE BANCA SENDERO PEATONAL. VDA LOMA DE LOS OCHOA,Socavación / pérdida de banca,,,MM Y PERDIDA DE BANCA SENDERO PEATONAL. VDA LOMA DE LOS OCHOA,38.jpg,6.39035,-75.455701
39,AGRIETAMIENTO EN VIA. BARRIO EL PARAISO,Punto de riesgo,,,AGRIETAMIENTO EN VIA. BARRIO EL PARAISO,39.jpg,6.373225,-75.438966
40,MM. SALIDA PPAL PARQUEADERO DE LALO,Movimiento en masa,,,MM. SALIDA PPAL PARQUEADERO DE LALO,40.jpg,6.380872,-75.448339
41,MM. ENTRADA PPAL TALUD BARRIO JUAN XXIII,Movimiento en masa,,,MM. ENTRADA PPAL TALUD BARRIO JUAN XXIII,41.jpg,6.381384,-75.450174
42,"MM. VDA LOMA DE LOS OCHOA, PRIMER BOTADER",Movimiento en masa,,,"MM. VDA LOMA DE LOS OCHOA, PRIMER BOTADER",42.jpg,6.389516,-75.456305
43,MM_TASAJERA-ROCA,Punto de riesgo,,,MM_TASAJERA-ROCA,43.jpg,6.411614,-75.428826
44,Marcador sin título,Punto de riesgo,,,Marcador sin título,44.jpg,6.40808,-75.459306
45,MM_ACUEDUCTO_EMERSÓN,Punto de riesgo,,,MM_ACUEDUCTO_EMERSÓN,45.jpg,6.408064,-75.458912
46,COLPASO DE MURO COLINDANTE,Punto de riesgo,,,COLPASO DE MURO COLINDANTE,46.jpg,6.381581,-75.427085
47,PUNTO DE DESBORDAMIENTO DE AGUAS. AFECTACION A VÍA RURAL,Punto de riesgo,,,PUNTO DE DESBORDAMIENTO DE AGUAS. AFECTACION A VÍA RURAL,47.jpg,6.382198,-75.426936
48,6°22&apos;07.7&quot;N -75°25&apos;02.4&quot;W,Punto de riesgo,,,6°22&apos;07.7&quot;N -75°25&apos;02.4&quot;W,48.jpg,6.368794,-75.417339
